Titre,État,Région,Site,Description,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur
ASOK_MAT056,Uttar Pradesh,Mathurā,Mathurā,Pilier avec médaillons et demi-médaillons lotiformes,1 B.C.,Balustrade ; pilier,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_MAT051d,Uttar Pradesh,Mathurā,Mathurā,Montant de porte avec scènes,1 A.D.,Montant de porte,indéterminée,Lucknow State Museum,Maronet Léa
ASOK_MAT049a,Uttar Pradesh,Mathurā,Mathurā,Balustrade,1 A.D.,Balustrade,indéterminée,Lucknow State Museum,Maronet Léa
ASOK_MAT035,Uttar Pradesh,Mathurā,Mathurā,Balustrade avec médaillons et demi-médaillons lotiformes,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade,bouddhisme,Cleveland Museum of Art,Maronet Léa
ASOK_MAT034,Uttar Pradesh,Mathurā,Mathurā,Balustrade avec médaillons et demi-médaillons lotiformes avec personnage féminin,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade,bouddhisme,Cleveland Museum of Art,Maronet Léa
ASOK_KHAN005,Odhisa,Kaliṅga,Khaṇḍagiri,Haut de chapiteau,2 B.C. ; 1 B.C. ; 1 A.D.,Grotte,jaïnisme,In situ,Maronet Léa
ASOK_KANK008b,Uttar Pradesh,Mathurā,Kaṅkālī Ṭīlā,Combat entre garuḍa et nāga,1 A.D.,Stūpa,jaïnisme,Lucknow State Museum,Maronet Léa
ASOK_KANK007c,Uttar Pradesh,Mathurā,Kaṅkālī Ṭīlā,Pilier,1 B.C. ; 1 A.D.,Stūpa ; pilier,jaïnisme,Lucknow State Museum,Maronet Léa
ASOK_KANE006,Maharashtra,Mahārāṣṭra,Kānherī,Haut de chapiteau avec éléphants ondoyant un stūpa et nāgas en dévotion,1 B.C.,Grotte ; pilier ; chapiteau,bouddhisme,In situ,Maronet Léa
ASOK_KANE005,Maharashtra,Mahārāṣṭra,Kānherī,Haut de chapiteau avec éléphant et personnages,1 B.C.,Grotte ; pilier ; chapiteau,bouddhisme,In situ,Maronet Léa
ASOK_KANE004,Maharashtra,Mahārāṣṭra,Kānherī,Haut de chapiteau avec éléphant et personnages,1 B.C.,Grotte ; pilier ; chapiteau,bouddhisme,In situ,Maronet Léa
ASOK_KANE003,Maharashtra,Mahārāṣṭra,Kānherī,Haut de chapiteau avec éléphant et personnages,1 B.C.,Grotte ; pilier ; chapiteau,bouddhisme,In situ,Maronet Léa
ASOK_KAN121,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Médaillon et demi-médaillons lotiformes,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ, Luczanits Christian
ASOK_KAN078a,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Frise avec scènes narratives,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN064,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Frise avec animaux et motifs,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN060,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Frise avec animaux et motifs,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN059,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Frise avec animaux et motifs,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN051e,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Ṣaḍdantajātaka I et II,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN051d,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Ṣaḍdantajātaka I et II,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN049a,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Acrobates et grand départ du Buddha,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN047c,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Tentation de Māra et vénération du Buddha,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN046h,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Armées et partage des reliques,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN045aa,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Transport des reliques,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Luczanits Christian
ASOK_KAN039e,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Haṃsajātaka,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN036c,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Simukha Sātavāhana,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN032a,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Cakravartin,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN012c,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Stūpa et ville,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_KAN008b,Karnataka,Āndhradeśa,Kaṇagaṇahaḷḷi,Mahākapijātaka,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,In situ,Maronet Léa
ASOK_GAN212,Gandhāra,Gandhāra,Gandhāra,Scène de chasse,1 A.D. ; 2 A.D. ; 3 A.D. ,Frise,bouddhisme,Musée National des Arts Asiatiques - Guimet,Maronet Léa
ASOK_GAN211,Gandhāra,Gandhāra,Gandhāra,Scène de chasse,1 A.D. ; 2 A.D. ; 3 A.D. ,Frise,bouddhisme,Musée National des Arts Asiatiques - Guimet,Maronet Léa
ASOK_GAN210,Gandhāra,Gandhāra,Gandhāra,Scène de chasse,1 A.D. ; 2 A.D. ; 3 A.D. ,Frise,bouddhisme,Musée National des Arts Asiatiques - Guimet,Maronet Léa
ASOK_GAN209,Gandhāra,Gandhāra,Gandhāra,Scène de chasse,1 A.D. ; 2 A.D. ; 3 A.D. ,Frise,bouddhisme,Musée National des Arts Asiatiques - Guimet,Maronet Léa
ASOK_CHAN008a,Andhra Pradesh,Āndhradeśa,Chandavaram,Stūpa,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN008,Andhra Pradesh,Āndhradeśa,Chandavaram,Stūpa,1 B.C. ; 1 A.D. ; 2 A.D. ; 3 A.D. ,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN007a,Andhra Pradesh,Āndhradeśa,Chandavaram,Panneau avec motifs décoratifs,1 A.D. ; 2 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN007,Andhra Pradesh,Āndhradeśa,Chandavaram,Panneau avec motifs décoratifs,1 A.D. ; 2 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN006,Andhra Pradesh,Āndhradeśa,Chandavaram,Pūrṇakumbha (vase),1 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN005a,Andhra Pradesh,Āndhradeśa,Chandavaram,Panneau avec scènes narratives,2 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN005,Andhra Pradesh,Āndhradeśa,Chandavaram,Panneau avec scènes narratives,2 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN004,Andhra Pradesh,Āndhradeśa,Chandavaram,Élément de balustrade,1 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN003,Andhra Pradesh,Āndhradeśa,Chandavaram,Montant de balustrade avec médaillon lotiforme,1 A.D. ; 2 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
